dish_id,image_path,weight_g,carbs_g,protein_g,fat_g
dish_1561662216,imagery/realsense_overhead/dish_1561662216/rgb.png,193.0,28.21829,18.63397,12.387489
dish_1561662054,imagery/realsense_overhead/dish_1561662054/rgb.png,292.0,26.351543,25.910593,23.838249
dish_1562008979,imagery/realsense_overhead/dish_1562008979/rgb.png,290.0,10.17357,35.345387,22.224644
dish_1560455030,imagery/realsense_overhead/dish_1560455030/rgb.png,103.0,4.625,0.956,0.148
dish_1558372433,imagery/realsense_overhead/dish_1558372433/rgb.png,143.0,0.429,20.02,0.286
dish_1565640549,imagery/realsense_overhead/dish_1565640549/rgb.png,139.0,7.043886,2.641478,1.568471
dish_1563207364,imagery/realsense_overhead/dish_1563207364/rgb.png,271.0,30.657,15.01,13.774
dish_1561575474,imagery/realsense_overhead/dish_1561575474/rgb.png,183.0,17.412746,2.990431,4.966118
dish_1563216717,imagery/realsense_overhead/dish_1563216717/rgb.png,332.0,16.284782,33.06871,5.636517
dish_1565972591,imagery/realsense_overhead/dish_1565972591/rgb.png,122.0,3.66,17.08,12.2
dish_1568649312,imagery/realsense_overhead/dish_1568649312/rgb.png,78.0,10.92,0.546,0.234
dish_1562183096,imagery/realsense_overhead/dish_1562183096/rgb.png,95.0,3.28026,2.80497,2.571043
dish_1563476551,imagery/realsense_overhead/dish_1563476551/rgb.png,750.0,74.705963,85.498482,51.413692
dish_1559844951,imagery/realsense_overhead/dish_1559844951/rgb.png,122.0,22.792,9.784,17.906
dish_1562963704,imagery/realsense_overhead/dish_1562963704/rgb.png,479.0,66.054832,35.921761,28.423254
dish_1566417398,imagery/realsense_overhead/dish_1566417398/rgb.png,46.0,2.088042,0.792647,5.357862
dish_1561739238,imagery/realsense_overhead/dish_1561739238/rgb.png,257.0,37.556999,9.465,9.785
dish_1562611680,imagery/realsense_overhead/dish_1562611680/rgb.png,256.0,24.775015,16.028036,19.411798
dish_1564432238,imagery/realsense_overhead/dish_1564432238/rgb.png,315.0,34.854778,28.074873,23.15468
dish_1563468327,imagery/realsense_overhead/dish_1563468327/rgb.png,483.0,57.495316,12.099887,9.768622
dish_1562862493,imagery/realsense_overhead/dish_1562862493/rgb.png,134.0,2.144,13.400001,14.74
dish_1558549008,imagery/realsense_overhead/dish_1558549008/rgb.png,115.0,4.485,1.035,0.23
dish_1560453174,imagery/realsense_overhead/dish_1560453174/rgb.png,256.0,10.521854,32.1376,18.145134
dish_1562691032,imagery/realsense_overhead/dish_1562691032/rgb.png,415.0,39.058826,17.94734,22.039829
dish_1563824250,imagery/realsense_overhead/dish_1563824250/rgb.png,43.0,3.87,0.473,0.043
dish_1560543755,imagery/realsense_overhead/dish_1560543755/rgb.png,264.0,27.355255,17.404505,8.887804
dish_1558549773,imagery/realsense_overhead/dish_1558549773/rgb.png,10.0,0.36,0.29,0.04
dish_1563822597,imagery/realsense_overhead/dish_1563822597/rgb.png,176.0,7.626667,4.106667,2.170667
dish_1563984242,imagery/realsense_overhead/dish_1563984242/rgb.png,753.0,36.819611,49.407761,3.30239
dish_1558459276,imagery/realsense_overhead/dish_1558459276/rgb.png,79.0,22.120001,2.133,0.237
dish_1560974707,imagery/realsense_overhead/dish_1560974707/rgb.png,60.0,7.088692,2.992605,2.003546
dish_1564686855,imagery/realsense_overhead/dish_1564686855/rgb.png,435.0,85.930336,56.845505,52.116467
dish_1565119669,imagery/realsense_overhead/dish_1565119669/rgb.png,229.0,10.842,3.2725,1.0305
dish_1566417516,imagery/realsense_overhead/dish_1566417516/rgb.png,425.0,23.505039,33.699574,36.516472
dish_1558724031,imagery/realsense_overhead/dish_1558724031/rgb.png,303.0,25.789999,14.067,25.801001
dish_1558637393,imagery/realsense_overhead/dish_1558637393/rgb.png,128.0,29.056,28.672001,63.360001
dish_1563393217,imagery/realsense_overhead/dish_1563393217/rgb.png,228.0,9.802668,2.865667,0.467667
dish_1562789268,imagery/realsense_overhead/dish_1562789268/rgb.png,350.0,64.756828,32.585655,22.733551
dish_1563998323,imagery/realsense_overhead/dish_1563998323/rgb.png,574.0,35.302532,52.964516,32.486301
dish_1559700851,imagery/realsense_overhead/dish_1559700851/rgb.png,54.0,1.897059,1.151647,5.827236
dish_1561492204,imagery/realsense_overhead/dish_1561492204/rgb.png,334.0,49.120712,37.193401,15.686282
dish_1567613057,imagery/realsense_overhead/dish_1567613057/rgb.png,749.0,45.862511,40.6982,4.968488
